area,district,latitude,longitude,money,orientation,plot,street,subway,time,typ
85㎡,西城,39.939659,116.360016,13000,朝南 北,北礼士路,官园,"距离2号线,6号线-车公庄38m距离2号线-阜成门316m距离2号线,4号线大兴线,13号线-西直门498m距离6号线-车公庄西796m距离4号线大兴线-动物园1074m",2019-03-03,3室1厅1卫
68㎡,西城,39.909672,116.345639,8500,朝南 北,整租,木樨地,"距离1号线-木樨地36m距离1号线,9号线-军事博物馆1088m",2019-03-14,2室1厅1卫
66㎡,西城,39.888592,116.36753,6800,朝南 北,白广路东里1号院,白纸坊,距离7号线-广安门内936m,2019-03-02,1室1厅1卫
58㎡,西城,39.931695,116.354733,7200,朝南 北,整租,阜成门,"距离2号线-阜成门781m距离6号线-车公庄西876m距离2号线,6号线-车公庄930m",2019-03-03,2室1厅1卫
48㎡,西城,39.901713,116.371533,6000,朝南 北,低楼层，有钥匙，随时能看，家具家电齐全。,长椿街,"距离2号线-长椿街553m距离7号线-广安门内943m距离2号线,4号线大兴线-宣武门1137m距离4号线大兴线,7号线-菜市口1137m",2018-12-11,2室0厅1卫
52㎡,西城,39.920914,116.377294,7800,朝东,整租,金融街,"距离4号线大兴线-灵境胡同315m距离4号线大兴线-西四1086m距离1号线,4号线大兴线-西单1141m",2019-03-04,1室1厅1卫
53㎡,西城,39.978141,116.399018,7000,朝南 北,整租,马甸,"距离8号线-安华桥242m距离8号线,10号线-北土城548m距离10号线-健德门1034m",2019-03-03,2室1厅1卫
47㎡,西城,39.891739,116.344985,5300,朝东,整租,广安门,距离7号线-达官营241m距离7号线-湾子743m,2019-03-01,1室0厅1卫
66㎡,西城,39.921965,116.373085,11000,朝南,整租,金融街,距离4号线大兴线-灵境胡同475m,2018-12-09,1室1厅1卫
75㎡,西城,39.893507,116.336918,6700,朝西南 北,马连道中里,马连道,距离7号线-达官营251m距离7号线-湾子338m,2018-12-02,2室1厅1卫
39㎡,西城,39.959476,116.390781,5000,朝西,整租,六铺炕,距离8号线-安德里北街1163m,2018-12-07,1室1厅1卫
69㎡,西城,39.900454,116.385168,8500,朝东 南,整租,宣武门,"距离4号线大兴线,7号线-菜市口643m距离7号线-虎坊桥677m距离2号线,4号线大兴线-宣武门699m距离2号线-和平门879m",2018-12-01,2室1厅1卫
59㎡,西城,39.907101,116.347957,6500,朝东 西,汽南小区精装两居室，预约随时可看房。,木樨地,距离1号线-木樨地797m,2018-12-01,2室1厅1卫
80㎡,西城,39.893507,116.336918,6000,朝南,马连道中里,马连道,距离7号线-达官营251m距离7号线-湾子338m,2018-12-08,2室1厅1卫
102㎡,西城,39.89381,116.373903,10000,朝西北,牛街东里,牛街,"距离7号线-广安门内585m距离4号线大兴线,7号线-菜市口718m",2018-12-04,2室1厅1卫
70㎡,西城,39.921965,116.373085,12000,朝南,整租,金融街,距离4号线大兴线-灵境胡同475m,2018-12-07,2室1厅1卫
53㎡,西城,39.890309,116.369702,6000,朝西,整租,牛街,距离7号线-广安门内929m,2018-11-30,1室0厅1卫
58㎡,西城,39.940291,116.353434,9500,朝南 北,整租,车公庄,"距离6号线-车公庄西8m距离2号线,6号线-车公庄527m距离4号线大兴线-动物园750m距离2号线,4号线大兴线,13号线-西直门942m",2018-11-15,2室1厅1卫
61㎡,西城,39.972468,116.394288,6500,朝东北,整租,马甸,距离8号线-安华桥499m,2018-11-18,2室1厅1卫
101㎡,西城,39.890281,116.389739,12600,朝南 北,陶然北岸,陶然亭,"距离7号线-虎坊桥611m距离4号线大兴线,7号线-菜市口1013m",2018-11-30,2室1厅2卫
49㎡,西城,39.884305,116.363739,5800,朝东 南,整租,白纸坊,,2018-11-15,1室1厅1卫
78㎡,西城,39.877194,116.366335,7000,朝南 北,整租,右安门内,,2018-11-19,3室1厅1卫
104㎡,西城,39.966384,116.38077,10500,朝西南,整租,马甸,,2018-11-20,2室1厅1卫
68㎡,西城,39.974142,116.392381,7000,朝南,整租,马甸,距离8号线-安华桥677m,2018-11-18,2室1厅1卫
78㎡,西城,39.932098,116.35861,12800,朝东 西,整租,阜成门,"距离2号线-阜成门499m距离2号线,6号线-车公庄714m距离6号线-车公庄西1079m",2018-11-02,3室1厅1卫
35㎡,西城,39.900529,116.343245,5300,朝东南,整租,广安门,距离7号线-达官营681m距离7号线-湾子1103m,2018-10-23,1室1厅1卫
200㎡,西城,39.918967,116.368189,30000,朝南 北,整租,金融街,"距离1号线,2号线-复兴门746m距离4号线大兴线-灵境胡同1139m",2018-10-22,3室2厅2卫
50㎡,西城,39.968971,116.378553,7000,朝南,整租,马甸,,2018-11-06,2室1厅1卫
54㎡,西城,39.927054,116.372543,12000,朝东,整租,金融街,距离4号线大兴线-西四657m距离2号线-阜成门846m,2018-10-12,1室1厅1卫
96㎡,西城,39.892118,116.384071,13500,朝东 西 北,中信沁园,陶然亭,"距离4号线大兴线,7号线-菜市口276m距离4号线大兴线-陶然亭819m距离7号线-虎坊桥1133m",2018-10-16,2室1厅1卫
70㎡,西城,39.880949,116.396923,7000,朝南 北,整租,陶然亭,,2018-10-20,3室1厅1卫
123㎡,西城,39.964612,116.387501,19000,朝南 北,整租,六铺炕,,2018-09-29,3室1厅2卫
84㎡,大兴,39.763006,116.500512,4000,朝南 北,南海家园七里,大兴其它,,2019-03-23,2室1厅1卫
82㎡,大兴,39.727554,116.353803,4300,朝东,整租,观音寺,,2019-03-17,2室1厅1卫
89㎡,大兴,39.804033,116.370179,5200,朝南 北,整租,西红门,,2019-03-15,3室1厅1卫
44㎡,大兴,39.791791,116.347771,3500,朝南,整租,西红门,,2019-03-21,1室0厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
102㎡,大兴,39.817347,116.458721,5600,朝南 北,宣颐家园,旧宫,距离亦庄线-旧宫907m,2019-03-14,2室1厅1卫
43㎡,大兴,39.780886,116.335491,5800,朝北,保利茉莉公馆,黄村北,距离4号线大兴线-高米店北25m距离4号线大兴线-高米店南1104m,2019-03-18,2房间1卫
139㎡,大兴,39.721464,116.406877,4000,朝南 北,金色漫香郡北区,大兴其它,,2019-03-23,3室2厅2卫
84㎡,大兴,39.734779,116.341153,4600,朝东 西,兴政西里,黄村中,距离4号线大兴线-黄村西大街219m距离4号线大兴线-黄村火车站526m,2019-02-15,3室1厅1卫
85㎡,大兴,39.780886,116.335491,5800,朝南,保利茉莉公馆,黄村北,距离4号线大兴线-高米店北25m距离4号线大兴线-高米店南1104m,2019-03-23,2室1厅1卫
62㎡,大兴,39.770511,116.457814,3000,朝南,兴海园,瀛海,距离8号线南段-瀛海590m距离8号线南段-德茂1143m,2019-03-22,1室1厅1卫
90㎡,大兴,39.754823,116.319982,4900,朝南 北,首开康乃馨城,枣园,,2019-03-14,3室2厅1卫
88㎡,大兴,39.69233,116.333138,4500,朝东 南,明发雅苑,天宫院,距离4号线大兴线-生物医药基地608m,2019-03-21,2室1厅1卫
